@relation final

@attribute Loan_ID {LP001002,LP001003,LP001005,LP001006,LP001008,LP001011,LP001013,LP001014,LP001018,LP001020,LP001024,LP001027,LP001028,LP001029,LP001030,LP001032,LP001034,LP001036,LP001038,LP001041,LP001043,LP001046,LP001047,LP001050,LP001052,LP001066,LP001068,LP001073,LP001086,LP001087,LP001091,LP001095,LP001097,LP001098,LP001100,LP001106,LP001109,LP001112,LP001114,LP001116,LP001119,LP001120,LP001123,LP001131,LP001136,LP001137,LP001138,LP001144,LP001146,LP001151,LP001155,LP001157,LP001164,LP001179,LP001186,LP001194,LP001195,LP001197,LP001198,LP001199,LP001205,LP001206,LP001207,LP001213,LP001222,LP001225,LP001228,LP001233,LP001238,LP001241,LP001243,LP001245,LP001248,LP001250,LP001253,LP001255,LP001256,LP001259,LP001263,LP001264,LP001265,LP001266,LP001267,LP001273,LP001275,LP001279,LP001280,LP001282,LP001289,LP001310,LP001316,LP001318,LP001319,LP001322,LP001325,LP001326,LP001327,LP001333,LP001334,LP001343,LP001345,LP001349,LP001350,LP001356,LP001357,LP001367,LP001369,LP001370,LP001379,LP001384,LP001385,LP001387,LP001391,LP001392,LP001398,LP001401,LP001404,LP001405,LP001421,LP001422,LP001426,LP001430,LP001431,LP001432,LP001439,LP001443,LP001448,LP001449,LP001451,LP001465,LP001469,LP001473,LP001478,LP001482,LP001487,LP001488,LP001489,LP001491,LP001492,LP001493,LP001497,LP001498,LP001504,LP001507,LP001508,LP001514,LP001516,LP001518,LP001519,LP001520,LP001528,LP001529,LP001531,LP001532,LP001535,LP001536,LP001541,LP001543,LP001546,LP001552,LP001560,LP001562,LP001565,LP001570,LP001572,LP001574,LP001577,LP001578,LP001579,LP001580,LP001581,LP001585,LP001586,LP001594,LP001603,LP001606,LP001608,LP001610,LP001616,LP001630,LP001633,LP001634,LP001636,LP001637,LP001639,LP001640,LP001641,LP001643,LP001644,LP001647,LP001653,LP001656,LP001657,LP001658,LP001664,LP001665,LP001666,LP001669,LP001671,LP001673,LP001674,LP001677,LP001682,LP001688,LP001691,LP001692,LP001693,LP001698,LP001699,LP001702,LP001708,LP001711,LP001713,LP001715,LP001716,LP001720,LP001722,LP001726,LP001732,LP001734,LP001736,LP001743,LP001744,LP001749,LP001750,LP001751,LP001754,LP001758,LP001760,LP001761,LP001765,LP001768,LP001770,LP001776,LP001778,LP001784,LP001786,LP001788,LP001790,LP001792,LP001798,LP001800,LP001806,LP001807,LP001811,LP001813,LP001814,LP001819,LP001824,LP001825,LP001835,LP001836,LP001841,LP001843,LP001844,LP001846,LP001849,LP001854,LP001859,LP001864,LP001865,LP001868,LP001870,LP001871,LP001872,LP001875,LP001877,LP001882,LP001883,LP001884,LP001888,LP001891,LP001892,LP001894,LP001896,LP001900,LP001903,LP001904,LP001907,LP001908,LP001910,LP001914,LP001915,LP001917,LP001922,LP001924,LP001925,LP001926,LP001931,LP001935,LP001936,LP001938,LP001940,LP001945,LP001947,LP001949,LP001953,LP001954,LP001955,LP001963,LP001964,LP001972,LP001974,LP001977,LP001978,LP001990,LP001993,LP001994,LP001996,LP001998,LP002002,LP002004,LP002006,LP002008,LP002024,LP002031,LP002035,LP002036,LP002043,LP002050,LP002051,LP002053,LP002054,LP002055,LP002065,LP002067,LP002068,LP002082,LP002086,LP002087,LP002097,LP002098,LP002100,LP002101,LP002103,LP002106,LP002110,LP002112,LP002113,LP002114,LP002115,LP002116,LP002119,LP002126,LP002128,LP002129,LP002130,LP002131,LP002137,LP002138,LP002139,LP002140,LP002141,LP002142,LP002143,LP002144,LP002149,LP002151,LP002158,LP002160,LP002161,LP002170,LP002175,LP002178,LP002180,LP002181,LP002187,LP002188,LP002190,LP002191,LP002194,LP002197,LP002201,LP002205,LP002209,LP002211,LP002219,LP002223,LP002224,LP002225,LP002226,LP002229,LP002231,LP002234,LP002236,LP002237,LP002239,LP002243,LP002244,LP002250,LP002255,LP002262,LP002263,LP002265,LP002266,LP002272,LP002277,LP002281,LP002284,LP002287,LP002288,LP002296,LP002297,LP002300,LP002301,LP002305,LP002308,LP002314,LP002315,LP002317,LP002318,LP002319,LP002328,LP002332,LP002335,LP002337,LP002341,LP002342,LP002345,LP002347,LP002348,LP002357,LP002361,LP002362,LP002364,LP002366,LP002367,LP002368,LP002369,LP002370,LP002377,LP002379,LP002386,LP002387,LP002390,LP002393,LP002398,LP002401,LP002403,LP002407,LP002408,LP002409,LP002418,LP002422,LP002424,LP002429,LP002434,LP002435,LP002443,LP002444,LP002446,LP002447,LP002448,LP002449,LP002453,LP002455,LP002459,LP002467,LP002472,LP002473,LP002478,LP002484,LP002487,LP002489,LP002493,LP002494,LP002500,LP002501,LP002502,LP002505,LP002515,LP002517,LP002519,LP002522,LP002524,LP002527,LP002529,LP002530,LP002531,LP002533,LP002534,LP002536,LP002537,LP002541,LP002543,LP002544,LP002545,LP002547,LP002555,LP002556,LP002560,LP002562,LP002571,LP002582,LP002585,LP002586,LP002587,LP002588,LP002600,LP002602,LP002603,LP002606,LP002615,LP002618,LP002619,LP002622,LP002624,LP002625,LP002626,LP002634,LP002637,LP002640,LP002643,LP002648,LP002652,LP002659,LP002670,LP002682,LP002683,LP002684,LP002689,LP002690,LP002692,LP002693,LP002697,LP002699,LP002705,LP002706,LP002714,LP002716,LP002717,LP002720,LP002723,LP002729,LP002731,LP002732,LP002734,LP002738,LP002739,LP002740,LP002741,LP002743,LP002753,LP002755,LP002757,LP002767,LP002768,LP002772,LP002776,LP002777,LP002778,LP002784,LP002785,LP002788,LP002789,LP002792,LP002794,LP002795,LP002798,LP002804,LP002807,LP002813,LP002820,LP002821,LP002832,LP002833,LP002836,LP002837,LP002840,LP002841,LP002842,LP002847,LP002855,LP002862,LP002863,LP002868,LP002872,LP002874,LP002877,LP002888,LP002892,LP002893,LP002894,LP002898,LP002911,LP002912,LP002916,LP002917,LP002925,LP002926,LP002928,LP002931,LP002933,LP002936,LP002938,LP002940,LP002941,LP002943,LP002945,LP002948,LP002949,LP002950,LP002953,LP002958,LP002959,LP002960,LP002961,LP002964,LP002974,LP002978,LP002979,LP002983,LP002984,LP002990}
@attribute Gender {Male,Female}
@attribute Married {No,Yes}
@attribute Dependents {0,1,2,3+}
@attribute Education {Graduate,'Not Graduate'}
@attribute Self_Employed {No,Yes}
@attribute ApplicantIncome numeric
@attribute CoapplicantIncome numeric
@attribute LoanAmount numeric
@attribute Loan_Amount_Term numeric
@attribute Credit_History {0,1}
@attribute Property_Area {Urban,Rural,Semiurban}
@attribute Loan_Status {true,false}
@attribute LoanAmount_log numeric
@attribute TotalIncome numeric
@attribute TotalIncome_log numeric

@data
LP001002,Male,No,0,Graduate,No,5849,0,146,360,1,Urban,true,4.866325,5849,8.674197
LP001003,Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,false,4.859812,6091,8.714732
LP001005,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,true,4.204693,3000,8.006701
LP001006,Male,Yes,0,'Not Graduate',No,2583,2358,120,360,1,Urban,true,4.795791,4941,8.505525
LP001008,Male,No,0,Graduate,No,6000,0,141,360,1,Urban,true,4.955827,6000,8.699681
LP001011,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,true,5.590987,9613,9.170976
LP001013,Male,Yes,0,'Not Graduate',No,2333,1516,95,360,1,Urban,true,4.564348,3849,8.255828
LP001014,Male,Yes,3+,Graduate,No,3036,2504,158,360,0,Semiurban,false,5.068904,5540,8.61993
LP001018,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,true,5.129899,5532,8.618485
LP001020,Male,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,false,5.857933,23809,10.077861
LP001024,Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,true,4.26268,3900,8.268988
LP001027,Male,Yes,2,Graduate,No,2500,1840,109,360,1,Urban,true,4.70048,4340,8.37586
LP001028,Male,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,true,5.303305,11179,9.321882
LP001029,Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,false,4.744932,4693,8.45404
LP001030,Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,true,2.890372,2385,7.777374
LP001032,Male,No,0,Graduate,No,4950,0,125,360,1,Urban,true,4.836282,4950,8.507345
LP001034,Male,No,1,'Not Graduate',No,3596,0,100,240,1,Urban,true,4.615121,3596,8.187855
LP001036,Female,No,0,Graduate,No,3510,0,76,360,0,Urban,false,4.343805,3510,8.163656
LP001038,Male,Yes,0,'Not Graduate',No,4887,0,133,360,1,Rural,false,4.89784,4887,8.494539
LP001041,Male,Yes,0,Graduate,No,2600,3500,115,84,1,Urban,true,4.75359,6100,8.716208
LP001043,Male,Yes,0,'Not Graduate',No,7660,0,104,360,0,Urban,false,4.65396,7660,8.943898
LP001046,Male,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,true,5.755742,11580,9.357121
LP001047,Male,Yes,0,'Not Graduate',No,2600,1911,116,360,0,Semiurban,false,4.762174,4511,8.414496
LP001050,Male,Yes,2,'Not Graduate',No,3365,1917,112,360,0,Rural,false,4.727388,5282,8.572249
LP001052,Male,Yes,1,Graduate,No,3717,2925,151,360,1,Semiurban,false,5.023881,6642,8.801319
LP001066,Male,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,true,5.257495,9560,9.165448
LP001068,Male,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban,true,4.812184,5052,8.527737
LP001073,Male,Yes,2,'Not Graduate',No,4226,1040,110,360,1,Urban,true,4.70953,5266,8.569216
LP001086,Male,No,0,'Not Graduate',No,1442,0,35,360,1,Urban,false,3.583519,1442,7.27448
LP001087,Female,No,2,Graduate,No,3750,2083,120,360,1,Semiurban,true,4.795791,5833,8.671458
LP001091,Male,Yes,1,Graduate,No,4166,3369,201,360,1,Urban,false,5.308268,7535,8.927447
LP001095,Male,No,0,Graduate,No,3167,0,74,360,1,Urban,false,4.317488,3167,8.060856
LP001097,Male,No,1,Graduate,Yes,4692,0,106,360,1,Rural,false,4.672829,4692,8.453827
LP001098,Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,true,4.744932,5167,8.550241
LP001100,Male,No,3+,Graduate,No,12500,3000,320,360,1,Rural,false,5.771441,15500,9.64866
LP001106,Male,Yes,0,Graduate,No,2275,2067,146,360,1,Urban,true,4.866325,4342,8.376321
LP001109,Male,Yes,0,Graduate,No,1828,1330,100,84,0,Urban,false,4.615121,3158,8.058011
LP001112,Female,Yes,0,Graduate,No,3667,1459,144,360,1,Semiurban,true,4.976734,5126,8.542276
LP001114,Male,No,0,Graduate,No,4166,7210,184,360,1,Urban,true,5.220356,11376,9.339349
LP001116,Male,No,0,'Not Graduate',No,3748,1668,110,360,1,Semiurban,true,4.70953,5416,8.597297
LP001119,Male,No,0,Graduate,No,3600,0,80,360,1,Urban,false,4.394449,3600,8.188967
LP001120,Male,No,0,Graduate,No,1800,1213,47,360,1,Urban,true,3.871201,3013,8.011023
LP001123,Male,Yes,0,Graduate,No,2400,0,75,360,1,Urban,true,4.330733,2400,7.783641
LP001131,Male,Yes,0,Graduate,No,3941,2336,134,360,1,Semiurban,true,4.905275,6277,8.744807
LP001136,Male,Yes,0,'Not Graduate',Yes,4695,0,96,84,1,Urban,true,4.574711,4695,8.454466
LP001137,Female,No,0,Graduate,No,3410,0,88,84,1,Urban,true,4.488636,3410,8.134761
LP001138,Male,Yes,1,Graduate,No,5649,0,44,360,1,Urban,true,3.806662,5649,8.639411
LP001144,Male,Yes,0,Graduate,No,5821,0,144,360,1,Urban,true,4.976734,5821,8.669399
LP001146,Female,Yes,0,Graduate,No,2645,3440,120,360,0,Urban,false,4.795791,6085,8.713746
LP001151,Female,No,0,Graduate,No,4000,2275,144,360,1,Semiurban,true,4.976734,6275,8.744488
LP001155,Female,Yes,0,'Not Graduate',No,1928,1644,100,360,1,Semiurban,true,4.615121,3572,8.181161
LP001157,Female,No,0,Graduate,No,3086,0,120,360,1,Semiurban,true,4.795791,3086,8.034955
LP001164,Female,No,0,Graduate,No,4230,0,112,360,1,Semiurban,false,4.727388,4230,8.350194
LP001179,Male,Yes,2,Graduate,No,4616,0,134,360,1,Urban,false,4.905275,4616,8.4375
LP001186,Female,Yes,1,Graduate,Yes,11500,0,286,360,0,Urban,false,5.659482,11500,9.350189
LP001194,Male,Yes,2,Graduate,No,2708,1167,97,360,1,Semiurban,true,4.584967,3875,8.262559
LP001195,Male,Yes,0,Graduate,No,2132,1591,96,360,1,Semiurban,true,4.574711,3723,8.222554
LP001197,Male,Yes,0,Graduate,No,3366,2200,135,360,1,Rural,false,4.912655,5566,8.624612
LP001198,Male,Yes,1,Graduate,No,8080,2250,180,360,1,Urban,true,5.198497,10330,9.242904
LP001199,Male,Yes,2,'Not Graduate',No,3357,2859,144,360,1,Urban,true,4.976734,6216,8.735043
LP001205,Male,Yes,0,Graduate,No,2500,3796,120,360,1,Urban,true,4.795791,6296,8.747829
LP001206,Male,Yes,3+,Graduate,No,3029,0,99,360,1,Urban,true,4.60517,3029,8.016318
LP001207,Male,Yes,0,'Not Graduate',Yes,2609,3449,165,180,0,Rural,false,5.111988,6058,8.7093
